,name,id,nametype,recclass,mass_grams,fall,year,reclat,reclong,geolocation,geometry,state_abbrev_x,state,county,country,elevation,state_abbrev,FIPS
461,New Mexico,16957,Valid,Iron,130.0,Found,1935,34.5,-107.0,"(34.5, -107.0)",POINT (-107 34.5),None_Found,New Mexico,Socorro County,United States,1587.0,NM,35
462,Ocate,48976,Valid,"Iron, IAB-MG",6400.0,Found,1986,36.29533,-105.04833,"(36.29533, -105.04833)",POINT (-105.04833 36.29533),None_Found,New Mexico,Colfax County,United States,2554.0,NM,35
463,Oasis State Park,17974,Valid,OC,606.0,Found,1968,34.22833,-103.35833,"(34.22833, -103.35833)",POINT (-103.35833 34.22833),None_Found,New Mexico,Roosevelt County,United States,1243.0,NM,35
464,Oro Grande,18031,Valid,H5,513.0,Found,1971,32.37167,-106.25833,"(32.37167, -106.25833)",POINT (-106.25833 32.37167),None_Found,New Mexico,Otero County,United States,1235.0,NM,35
465,Oscuro Mountains,18035,Valid,"Iron, IAB-MG",3600.0,Found,1895,33.63333,-106.38333,"(33.63333, -106.38333)",POINT (-106.38333 33.63333),None_Found,New Mexico,Socorro County,United States,1960.0,NM,35
466,Otto,18047,Valid,H5,28.0,Found,1970,35.16667,-105.98333,"(35.16667, -105.98333)",POINT (-105.98333 35.16667),None_Found,New Mexico,Santa Fe County,United States,1931.0,NM,35
467,Palo Blanco Creek,18080,Valid,Eucrite-mmict,1482.0,Found,1954,36.5,-104.5,"(36.5, -104.5)",POINT (-104.5 36.5),None_Found,New Mexico,Colfax County,United States,1828.0,NM,35
468,Pelona Mountain,18785,Valid,H5,618.0,Found,1999,33.66667,-108.1,"(33.66667, -108.1)",POINT (-108.1 33.66667),None_Found,New Mexico,Catron County,United States,2659.0,NM,35
469,Picacho,18814,Valid,"Iron, IIIAB",22000.0,Found,1952,33.2,-105.0,"(33.2, -105.0)",POINT (-105 33.2),None_Found,New Mexico,Lincoln County,United States,1553.0,NM,35
470,Piñon,18828,Valid,"Iron, ungrouped",17850.0,Found,1928,32.66667,-105.1,"(32.66667, -105.1)",POINT (-105.1 32.66667),None_Found,New Mexico,Chaves County,United States,1661.0,NM,35
471,Point of Rocks (iron),18855,Valid,"Iron, IIIAB",18000.0,Found,1956,36.5,-104.5,"(36.5, -104.5)",POINT (-104.5 36.5),None_Found,New Mexico,Colfax County,United States,1828.0,NM,35
472,Point of Rocks (stone),18856,Valid,L6,800.0,Found,1954,36.5,-104.5,"(36.5, -104.5)",POINT (-104.5 36.5),None_Found,New Mexico,Colfax County,United States,1828.0,NM,35
473,Portales (a),18871,Valid,H4,3240.0,Found,1967,34.06667,-103.5,"(34.06667, -103.5)",POINT (-103.5 34.06667),None_Found,New Mexico,Roosevelt County,United States,1301.0,NM,35
474,Portales (b),18872,Valid,L6,595.8,Found,1967,34.06667,-103.5,"(34.06667, -103.5)",POINT (-103.5 34.06667),None_Found,New Mexico,Roosevelt County,United States,1301.0,NM,35
475,Portales (c),18873,Valid,H4,6000.0,Found,1967,34.1,-103.41667,"(34.1, -103.41667)",POINT (-103.41667 34.1),None_Found,New Mexico,Roosevelt County,United States,1263.0,NM,35
476,Puente-Ladron,18895,Valid,L,7.7,Found,1944,34.4,-106.85,"(34.4, -106.85)",POINT (-106.85 34.4),None_Found,New Mexico,Socorro County,United States,1442.0,NM,35
477,Ragland,22372,Valid,LL3.4,12100.0,Found,1982,34.76778,-103.55,"(34.76778, -103.55)",POINT (-103.55 34.76778),None_Found,New Mexico,Quay County,United States,1411.0,NM,35
478,Ragland Hill,56382,Valid,H5,11800.0,Found,1980,34.78333,-103.66667,"(34.78333, -103.66667)",POINT (-103.66667 34.78333),None_Found,New Mexico,Quay County,United States,1462.0,NM,35
479,Rio Rancho,55670,Valid,L6,1001.0,Found,2011,35.3,-106.63333,"(35.3, -106.63333)",POINT (-106.63333 35.3),None_Found,New Mexico,Sandoval County,United States,1621.0,NM,35
480,Roosevelt County 007,22662,Valid,H5,5.2,Found,1979,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
481,Roosevelt County 008,22663,Valid,H5,25.3,Found,1979,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
482,Roosevelt County 009,22664,Valid,H5,2.1,Found,1979,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
483,Rogers,22645,Valid,L,982.0,Found,1974,34.065,-103.40833,"(34.065, -103.40833)",POINT (-103.40833 34.065),None_Found,New Mexico,Roosevelt County,United States,1279.0,NM,35
484,Roosevelt County 001,22656,Valid,H3.8,462.0,Found,1968,33.78333,-103.56667,"(33.78333, -103.56667)",POINT (-103.56667 33.78333),None_Found,New Mexico,Roosevelt County,United States,1349.0,NM,35
485,Roosevelt County 002,22657,Valid,L6,18.2,Found,1973,33.71667,-103.65,"(33.71667, -103.65)",POINT (-103.65 33.71667),None_Found,New Mexico,Roosevelt County,United States,1365.0,NM,35
486,Roosevelt County 003,22658,Valid,H5,30.3,Found,1976,33.88333,-103.56667,"(33.88333, -103.56667)",POINT (-103.56667 33.88333),None_Found,New Mexico,Roosevelt County,United States,1365.0,NM,35
487,Roosevelt County 004,22659,Valid,L6,882.0,Found,1977,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
488,Roosevelt County 005,22660,Valid,L6,12.0,Found,1978,34.21667,-103.28333,"(34.21667, -103.28333)",POINT (-103.28333 34.21667),None_Found,New Mexico,Roosevelt County,United States,1245.0,NM,35
489,Roosevelt County 006,22661,Valid,L6,9.7,Found,1979,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
490,Roosevelt County 010,22665,Valid,L4,23.6,Found,1979,33.08333,-103.5,"(33.08333, -103.5)",POINT (-103.5 33.08333),None_Found,New Mexico,Lea County,United States,1254.0,NM,35
491,Roosevelt County 011,22666,Valid,H5,2.9,Found,1980,33.75,-103.13333,"(33.75, -103.13333)",POINT (-103.13333 33.75),None_Found,New Mexico,Roosevelt County,United States,1228.0,NM,35
492,Roosevelt County 012,22667,Valid,H5,173.1,Found,1981,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
493,Roosevelt County 013,22668,Valid,H5,35.2,Found,1981,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
494,Roosevelt County 014,22669,Valid,L5,74.7,Found,1981,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
495,Roosevelt County 015,22670,Valid,H5,16.3,Found,1981,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
496,Roosevelt County 016,22671,Valid,H5,138.2,Found,1981,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
497,Roosevelt County 017,22672,Valid,L6,177.8,Found,1981,34.21667,-103.2,"(34.21667, -103.2)",POINT (-103.2 34.21667),None_Found,New Mexico,Roosevelt County,United States,1233.0,NM,35
498,Roosevelt County 018,22673,Valid,H5,10.8,Found,1981,34.31667,-103.41667,"(34.31667, -103.41667)",POINT (-103.41667 34.31667),None_Found,New Mexico,Curry County,United States,1269.0,NM,35
499,Roosevelt County 019,22674,Valid,L5,450.0,Found,1982,34.11667,-103.56667,"(34.11667, -103.56667)",POINT (-103.56667 34.11667),None_Found,New Mexico,Roosevelt County,United States,1282.0,NM,35
500,Roosevelt County 020,22675,Valid,L5,528.0,Found,1983,34.13333,-103.56667,"(34.13333, -103.56667)",POINT (-103.56667 34.13333),None_Found,New Mexico,Roosevelt County,United States,1282.0,NM,35
501,Roosevelt County 021,22676,Valid,H5,96.0,Found,1983,33.81806,-103.20694,"(33.81806, -103.20694)",POINT (-103.20694 33.81806),None_Found,New Mexico,Roosevelt County,United States,1249.0,NM,35
502,Roosevelt County 022,22677,Valid,L6,8.7,Found,1983,34.21667,-103.28333,"(34.21667, -103.28333)",POINT (-103.28333 34.21667),None_Found,New Mexico,Roosevelt County,United States,1245.0,NM,35
503,Roosevelt County 023,22678,Valid,H5,59.2,Found,1984,34.18333,-103.23333,"(34.18333, -103.23333)",POINT (-103.23333 34.18333),None_Found,New Mexico,Roosevelt County,United States,1227.0,NM,35
504,Roosevelt County 024,22679,Valid,H5,5.6,Found,1984,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
505,Roosevelt County 025,22680,Valid,L5,4.3,Found,1984,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
506,Roosevelt County 026,22681,Valid,L6,12.4,Found,1984,34.15,-104.01667,"(34.15, -104.01667)",POINT (-104.01667 34.15),None_Found,New Mexico,De Baca County,United States,1276.0,NM,35
507,Roosevelt County 027,22682,Valid,Ureilite,22.3,Found,1984,33.8,-103.25,"(33.8, -103.25)",POINT (-103.25 33.8),None_Found,New Mexico,Roosevelt County,United States,1261.0,NM,35
508,Roosevelt County 028,22683,Valid,L5,67.3,Found,1984,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
509,Roosevelt County 029,22684,Valid,H4,4.9,Found,1984,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
510,Roosevelt County 030,22685,Valid,H4,3.1,Found,1984,34.28333,-103.43333,"(34.28333, -103.43333)",POINT (-103.43333 34.28333),None_Found,New Mexico,Roosevelt County,United States,1249.0,NM,35
511,Roosevelt County 031,22686,Valid,H3.9,397.1,Found,1984,33.78333,-103.55,"(33.78333, -103.55)",POINT (-103.55 33.78333),None_Found,New Mexico,Roosevelt County,United States,1345.0,NM,35
512,Roosevelt County 032,22687,Valid,H5,141.1,Found,1968,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
513,Roosevelt County 033,22688,Valid,L4,21.8,Found,1968,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
514,Roosevelt County 034,22689,Valid,H5,118.5,Found,1968,34.08333,-103.61667,"(34.08333, -103.61667)",POINT (-103.61667 34.08333),None_Found,New Mexico,Roosevelt County,United States,1287.0,NM,35
515,Roosevelt County 035,22690,Valid,L6,81.59999999999998,Found,1968,34.08333,-103.61667,"(34.08333, -103.61667)",POINT (-103.61667 34.08333),None_Found,New Mexico,Roosevelt County,United States,1287.0,NM,35
516,Roosevelt County 036,22691,Valid,H5,65.2,Found,1968,34.08333,-103.61667,"(34.08333, -103.61667)",POINT (-103.61667 34.08333),None_Found,New Mexico,Roosevelt County,United States,1287.0,NM,35
517,Roosevelt County 037,22692,Valid,H4/5,94.3,Found,1968,34.08333,-103.51667,"(34.08333, -103.51667)",POINT (-103.51667 34.08333),None_Found,New Mexico,Roosevelt County,United States,1282.0,NM,35
518,Roosevelt County 038,22693,Valid,H5,49.4,Found,1968,34.3,-103.45,"(34.3, -103.45)",POINT (-103.45 34.3),None_Found,New Mexico,Curry County,United States,1256.0,NM,35
519,Roosevelt County 039,22694,Valid,H5,38.0,Found,1969,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
520,Roosevelt County 040,22695,Valid,H5,71.1,Found,1969,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
521,Roosevelt County 041,22696,Valid,L5,32.4,Found,1969,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
522,Roosevelt County 042,22697,Valid,H5,32.6,Found,1969,34.08333,-103.51667,"(34.08333, -103.51667)",POINT (-103.51667 34.08333),None_Found,New Mexico,Roosevelt County,United States,1282.0,NM,35
523,Roosevelt County 043,22698,Valid,H4/5,52.1,Found,1969,34.08333,-103.61667,"(34.08333, -103.61667)",POINT (-103.61667 34.08333),None_Found,New Mexico,Roosevelt County,United States,1287.0,NM,35
524,Roosevelt County 044,22699,Valid,L6,439.1,Found,1970,34.25,-103.51667,"(34.25, -103.51667)",POINT (-103.51667 34.25),None_Found,New Mexico,Roosevelt County,United States,1246.0,NM,35
525,Roosevelt County 045,22700,Valid,L6,55.5,Found,1970,34.23333,-103.25,"(34.23333, -103.25)",POINT (-103.25 34.23333),None_Found,New Mexico,Roosevelt County,United States,1238.0,NM,35
526,Roosevelt County 046,22701,Valid,H5,120.4,Found,1970,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
527,Roosevelt County 047,22702,Valid,L6,30.3,Found,1970,34.13333,-103.36667,"(34.13333, -103.36667)",POINT (-103.36667 34.13333),None_Found,New Mexico,Roosevelt County,United States,1243.0,NM,35
528,Roosevelt County 048,22703,Valid,L6,57.3,Found,1970,33.61667,-103.45,"(33.61667, -103.45)",POINT (-103.45 33.61667),None_Found,New Mexico,Roosevelt County,United States,1306.0,NM,35
529,Roosevelt County 049,22704,Valid,LL4,22.8,Found,1971,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
530,Roosevelt County 050,22705,Valid,L4,13.1,Found,1971,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
531,Roosevelt County 051,22706,Valid,L5,29.4,Found,1971,34.21667,-103.35,"(34.21667, -103.35)",POINT (-103.35 34.21667),None_Found,New Mexico,Roosevelt County,United States,1239.0,NM,35
532,Roosevelt County 052,22707,Valid,H5,17.7,Found,1971,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
533,Roosevelt County 053,22708,Valid,H5,10.8,Found,1971,33.88333,-103.7,"(33.88333, -103.7)",POINT (-103.7 33.88333),None_Found,New Mexico,Roosevelt County,United States,1360.0,NM,35
534,Roosevelt County 054,22709,Valid,H5,361.5,Found,1971,34.3,-103.43333,"(34.3, -103.43333)",POINT (-103.43333 34.3),None_Found,New Mexico,Curry County,United States,1257.0,NM,35
535,Roosevelt County 055,22710,Valid,H5,7.9,Found,1971,34.3,-103.43333,"(34.3, -103.43333)",POINT (-103.43333 34.3),None_Found,New Mexico,Curry County,United States,1257.0,NM,35
536,Roosevelt County 056,22711,Valid,H5,10.3,Found,1972,34.41667,-103.58333,"(34.41667, -103.58333)",POINT (-103.58333 34.41667),None_Found,New Mexico,Curry County,United States,1338.0,NM,35
537,Roosevelt County 057,22712,Valid,L5,7.7,Found,1973,34.21667,-103.28333,"(34.21667, -103.28333)",POINT (-103.28333 34.21667),None_Found,New Mexico,Roosevelt County,United States,1245.0,NM,35
538,Roosevelt County 058,22713,Valid,L4,12.0,Found,1968,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
539,Roosevelt County 059,22714,Valid,L6,26.2,Found,1968,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
540,Roosevelt County 060,22715,Valid,H5,34.2,Found,1968,34.08333,-103.61667,"(34.08333, -103.61667)",POINT (-103.61667 34.08333),None_Found,New Mexico,Roosevelt County,United States,1287.0,NM,35
541,Roosevelt County 061,22716,Valid,H5,49.5,Found,1968,34.08333,-103.51667,"(34.08333, -103.51667)",POINT (-103.51667 34.08333),None_Found,New Mexico,Roosevelt County,United States,1282.0,NM,35
542,Roosevelt County 062,22717,Valid,H5,16.2,Found,1969,34.21667,-103.5,"(34.21667, -103.5)",POINT (-103.5 34.21667),None_Found,New Mexico,Roosevelt County,United States,1238.0,NM,35
543,Roosevelt County 063,22718,Valid,L4,34.7,Found,1969,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
544,Roosevelt County 064,22719,Valid,H5,24.8,Found,1969,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
545,Roosevelt County 065,22720,Valid,H5,405.8,Found,1971,33.61667,-103.45,"(33.61667, -103.45)",POINT (-103.45 33.61667),None_Found,New Mexico,Roosevelt County,United States,1306.0,NM,35
546,Roosevelt County 066,22721,Valid,L5,4.9,Found,1988,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
547,Roosevelt County 067,22722,Valid,L5,2.1,Found,1988,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
548,Roosevelt County 068,22723,Valid,L5,13.9,Found,1988,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
549,Roosevelt County 069,22724,Valid,L5,4.8,Found,1989,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
550,Roosevelt County 070,22725,Valid,L5,2.3,Found,1989,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
551,Roosevelt County 071,22726,Valid,L4,5.3,Found,1989,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
552,Roosevelt County 072,22727,Valid,L5,9.8,Found,1989,34.1,-103.48333,"(34.1, -103.48333)",POINT (-103.48333 34.1),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
553,Roosevelt County 073,22728,Valid,H5,288.0,Found,1989,34.08333,-103.48333,"(34.08333, -103.48333)",POINT (-103.48333 34.08333),None_Found,New Mexico,Roosevelt County,United States,1299.0,NM,35
554,Roosevelt County 074,22729,Valid,L5,22.2,Found,1990,34.08333,-103.51667,"(34.08333, -103.51667)",POINT (-103.51667 34.08333),None_Found,New Mexico,Roosevelt County,United States,1282.0,NM,35
555,Roosevelt County 075,22730,Valid,H3.10,258.0,Found,1990,34.18333,-103.43333,"(34.18333, -103.43333)",POINT (-103.43333 34.18333),None_Found,New Mexico,Roosevelt County,United States,1237.0,NM,35
556,Roosevelt County 076,22731,Valid,L4,3.3,Found,1992,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
557,Roosevelt County 077,22732,Valid,L4,10.9,Found,1992,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
558,Roosevelt County 078,22733,Valid,L4,6.9,Found,1992,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
559,Roosevelt County 079,22734,Valid,H4,30.2,Found,1993,34.1,-103.58333,"(34.1, -103.58333)",POINT (-103.58333 34.1),None_Found,New Mexico,Roosevelt County,United States,1285.0,NM,35
560,Roosevelt County 080,22735,Valid,H6,727.8,Found,1968,34.05,-103.5,"(34.05, -103.5)",POINT (-103.5 34.05),None_Found,New Mexico,Roosevelt County,United States,1309.0,NM,35
561,Roosevelt County 081,22736,Valid,H5,522.2,Found,1969,33.63333,-103.16667,"(33.63333, -103.16667)",POINT (-103.16667 33.63333),None_Found,New Mexico,Roosevelt County,United States,1234.0,NM,35
562,Roosevelt County 082,22737,Valid,H4,137.0,Found,1969,34.08333,-103.56667,"(34.08333, -103.56667)",POINT (-103.56667 34.08333),None_Found,New Mexico,Roosevelt County,United States,1281.0,NM,35
563,Roosevelt County 083,22738,Valid,H5,14.8,Found,1969,33.66667,-103.41667,"(33.66667, -103.41667)",POINT (-103.41667 33.66667),None_Found,New Mexico,Roosevelt County,United States,1302.0,NM,35
564,Roosevelt County 084,22739,Valid,L4,69.6,Found,1969,34.2,-103.23333,"(34.2, -103.23333)",POINT (-103.23333 34.2),None_Found,New Mexico,Roosevelt County,United States,1237.0,NM,35
565,Roosevelt County 085,22740,Valid,L4,140.0,Found,1969,34.31667,-103.38333,"(34.31667, -103.38333)",POINT (-103.38333 34.31667),None_Found,New Mexico,Curry County,United States,1270.0,NM,35
566,Roosevelt County 086,22741,Valid,L6,9.0,Found,1974,34.28333,-103.28333,"(34.28333, -103.28333)",POINT (-103.28333 34.28333),None_Found,New Mexico,Roosevelt County,United States,1255.0,NM,35
567,Roosevelt County 087,22742,Valid,H5,8.2,Found,1977,34.06667,-103.51667,"(34.06667, -103.51667)",POINT (-103.51667 34.06667),None_Found,New Mexico,Roosevelt County,United States,1292.0,NM,35
568,Roosevelt County 088,22743,Valid,H4,7.5,Found,1978,33.88333,-103.56667,"(33.88333, -103.56667)",POINT (-103.56667 33.88333),None_Found,New Mexico,Roosevelt County,United States,1365.0,NM,35
569,Roosevelt County 089,22744,Valid,H5,1615.0,Found,1980,34.13333,-103.53333,"(34.13333, -103.53333)",POINT (-103.53333 34.13333),None_Found,New Mexico,Roosevelt County,United States,1265.0,NM,35
570,Roosevelt County 090,22745,Valid,H4,6.4,Found,1993,34.28333,-103.51667,"(34.28333, -103.51667)",POINT (-103.51667 34.28333),None_Found,New Mexico,Roosevelt County,United States,1255.0,NM,35
571,Roosevelt County 091,22746,Valid,H4,3.15,Found,1994,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
572,Roosevelt County 092,22747,Valid,L5,34.29,Found,1994,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
573,Roosevelt County 093,22748,Valid,L5,2.78,Found,1994,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
574,Roosevelt County 094,22749,Valid,L5,3.55,Found,1994,34.08333,-103.5,"(34.08333, -103.5)",POINT (-103.5 34.08333),None_Found,New Mexico,Roosevelt County,United States,1294.0,NM,35
575,Roosevelt County 095,22750,Valid,L/LL5,12.1,Found,1995,34.09167,-103.50167,"(34.09167, -103.50167)",POINT (-103.50167 34.09167),None_Found,New Mexico,Roosevelt County,United States,1286.0,NM,35
576,Roosevelt County 096,22751,Valid,L5,212.2,Found,1996,34.09167,-103.67667,"(34.09167, -103.67667)",POINT (-103.67667 34.09167),None_Found,New Mexico,Roosevelt County,United States,1309.0,NM,35
577,Roosevelt County 097,22752,Valid,H4,56.0,Found,1996,33.95833,-103.93833,"(33.95833, -103.93833)",POINT (-103.93833 33.95833),None_Found,New Mexico,Chaves County,United States,1308.0,NM,35
578,Roosevelt County 098,22753,Valid,L6,15.0,Found,1969,34.21667,-103.55,"(34.21667, -103.55)",POINT (-103.55 34.21667),None_Found,New Mexico,Roosevelt County,United States,1253.0,NM,35
579,Roosevelt County 099,22754,Valid,H(5?),9.8,Found,1969,33.6,-103.3,"(33.6, -103.3)",POINT (-103.3 33.6),None_Found,New Mexico,Roosevelt County,United States,1266.0,NM,35
580,Roosevelt County 100,22755,Valid,L5,6.8,Found,1970,34.3,-103.45,"(34.3, -103.45)",POINT (-103.45 34.3),None_Found,New Mexico,Curry County,United States,1256.0,NM,35
581,Roosevelt County 101,22756,Valid,H5,12.6,Found,1979,34.05,-103.58333,"(34.05, -103.58333)",POINT (-103.58333 34.05),None_Found,New Mexico,Roosevelt County,United States,1302.0,NM,35
582,Roosevelt County 102,22757,Valid,L5,8345.0,Found,1988,33.995,-103.25,"(33.995, -103.25)",POINT (-103.25 33.995),None_Found,New Mexico,Roosevelt County,United States,1288.0,NM,35
583,Roosevelt County 103,22758,Valid,L6,10.0,Found,1998,33.73883,-103.65,"(33.73883, -103.65)",POINT (-103.65 33.73883),None_Found,New Mexico,Roosevelt County,United States,1363.0,NM,35
584,Roosevelt County 104,22759,Valid,L5,51.7,Found,1998,33.72217,-103.67333,"(33.72217, -103.67333)",POINT (-103.67333 33.72217),None_Found,New Mexico,Roosevelt County,United States,1366.0,NM,35
585,Roosevelt County 105,22760,Valid,H5,30.0,Found,1998,34.18833,-103.94167,"(34.18833, -103.94167)",POINT (-103.94167 34.18833),None_Found,New Mexico,Roosevelt County,United States,1324.0,NM,35
586,Roosevelt County 106,22761,Valid,L6,98.8,Found,2001,34.21667,-103.93333,"(34.21667, -103.93333)",POINT (-103.93333 34.21667),None_Found,New Mexico,Roosevelt County,United States,1339.0,NM,35
587,Roosevelt County 107,22762,Valid,L6,81.2,Found,2000,34.21667,-103.13333,"(34.21667, -103.13333)",POINT (-103.13333 34.21667),None_Found,New Mexico,Roosevelt County,United States,1229.0,NM,35
588,Roosevelt County 108,47360,Valid,H5,4.75,Found,2004,34.21667,-103.18333,"(34.21667, -103.18333)",POINT (-103.18333 34.21667),None_Found,New Mexico,Roosevelt County,United States,1234.0,NM,35
589,Roosevelt County 109,48914,Valid,L6,17.3,Found,2005,34.21667,-103.18333,"(34.21667, -103.18333)",POINT (-103.18333 34.21667),None_Found,New Mexico,Roosevelt County,United States,1234.0,NM,35
590,Roosevelt County 110,48991,Valid,L4,73.7,Found,1987,33.736667,-103.623333,"(33.736667, -103.623333)",POINT (-103.623333 33.736667),None_Found,New Mexico,Roosevelt County,United States,1359.0,NM,35
591,Roy (1933),22774,Valid,L5,47200.0,Found,1933,35.95,-104.2,"(35.95, -104.2)",POINT (-104.2 35.95),None_Found,New Mexico,Harding County,United States,1795.0,NM,35
592,Roy (1934),22775,Valid,L6,5619.0,Found,1934,35.95,-104.2,"(35.95, -104.2)",POINT (-104.2 35.95),None_Found,New Mexico,Harding County,United States,1795.0,NM,35
593,Sacramento Mountains,22794,Valid,"Iron, IIIAB",237200.0,Found,1890,32.91667,-104.66667,"(32.91667, -104.66667)",POINT (-104.66667 32.91667),None_Found,New Mexico,Eddy County,United States,1151.0,NM,35
594,Sandia Mountains,23156,Valid,"Iron, IIAB",45000.0,Found,1925,35.25,-106.5,"(35.25, -106.5)",POINT (-106.5 35.25),None_Found,New Mexico,Sandoval County,United States,2104.0,NM,35
595,Sierra County,23589,Valid,H5,1000.0,Found,1962,33.0,-107.5,"(33.0, -107.5)",POINT (-107.5 33),None_Found,New Mexico,Sierra County,United States,1575.0,NM,35
596,St. Vrain,23095,Valid,OC,45.5,Found,1971,34.31833,-103.47167,"(34.31833, -103.47167)",POINT (-103.47167 34.31833),None_Found,New Mexico,Curry County,United States,1266.0,NM,35
597,Suwanee Spring,23768,Valid,L5,1200.0,Found,1979,34.95,-107.16667,"(34.95, -107.16667)",POINT (-107.16667 34.95),None_Found,New Mexico,Valencia County,United States,1674.0,NM,35
