,COU,Large subnational region,Land cover class,Value,Unit Code
62098,IRN,Fars,Tree cover,61.286212,KM2
62103,UGA,Katakwi,Wetland,86.01709199999999,KM2
62113,SOM,Sanaag,Artificial surfaces,24.421744,KM2
62118,VNM,Phu Tho,Bare area,0.0,KM2
62128,THA,Satun,Tree cover,1140.557272,KM2
62133,MMR,Bago (W),Tree cover,4199.921696,KM2
62138,THA,Yala,Inland water,47.761511999999996,KM2
62143,URY,Canelones,Tree cover,750.659492,KM2
62153,TZA,Njombe,Grassland,1192.0284159999999,KM2
62158,ATF,Administrative unit not available,Cropland,0.309136,KM2
62173,ARG,Neuquen,Artificial surfaces,130.37810800000003,KM2
62183,THA,Lampang,Grassland,14.761244,KM2
62188,LAO,Salavan,Inland water,40.342248,KM2
62193,IRQ,Basrah,Artificial surfaces,174.97097600000004,KM2
62198,MUS,Pamplemousses,Shrubland,0.0,KM2
62218,VNM,Quang Binh,Tree cover,5199.126532,KM2
62228,DZA,Sidi Bel Abbes,Cropland,3904.6968160000006,KM2
62243,NPL,Far Western,Sparse vegetation,10.819759999999999,KM2
62278,AFG,Zabul,Shrubland,213.767544,KM2
62283,RUS,Rostovskaya Oblast,Artificial surfaces,1124.714052,KM2
62298,NCL,Administrative unit not available,Cropland,4215.06936,KM2
62323,URY,Montevideo,Inland water,41.037803999999994,KM2
62333,RUS,Omskaya Oblast,Sparse vegetation,172.72974,KM2
62348,AND,Ordino,Grassland,11.20618,KM2
62353,DOM,Salcedo,Wetland,0.0,KM2
62358,YEM,Taizz,Wetland,1.313828,KM2
62363,UGA,Tororo,Grassland,0.0,KM2
62368,TCD,Tandjile Ouest,Shrubland,720.5960159999998,KM2
62388,UGA,Gomba,Tree cover,33.386688,KM2
62398,MAR,Marrakech - Tensift - Al Haouz,Bare area,4040.871224,KM2
62403,VEN,Nueva Esparta,Artificial surfaces,93.049936,KM2
62408,MWI,Central Region,Bare area,0.0,KM2
62413,THA,Kalasin,Cropland,6281.334384,KM2
62418,MDV,Baa,Cropland,0.927408,KM2
62423,MUS,Plaines Wilhems,Wetland,0.0,KM2
62428,CAF,Bangui,Wetland,0.0,KM2
62433,PRK,Hwanghae-bukto,Artificial surfaces,68.55090799999999,KM2
62443,SDN,Al Jazeera,Shrubland,413.54668399999997,KM2
62448,VNM,Lai Chau,Artificial surfaces,16.22964,KM2
62458,PRY,Amambay,Sparse vegetation,0.0,KM2
62468,VNM,Ha Noi City,Grassland,0.463704,KM2
62473,TON,Administrative unit not available,Tree cover,279.76808,KM2
62478,TUN,Zaghouan,Artificial surfaces,17.388900000000003,KM2
62488,THA,Phayao,Wetland,1.081976,KM2
62508,VEN,Carabobo,Artificial surfaces,343.681948,KM2
62513,PER,Junín,Bare area,309.90884,KM2
62548,IMN,German,Tree cover,5.7963,KM2
62558,VNM,Thua Thien - Hue,Sparse vegetation,7.496548000000001,KM2
62568,NGA,Ebonyi,Cropland,4754.5116800000005,KM2
62583,TCA,North Caicos,Bare area,0.0,KM2
62593,TUN,Tunis,Artificial surfaces,142.511696,KM2
62598,SAU,Tabuk,Sparse vegetation,403.113344,KM2
62608,BWA,South-East,Artificial surfaces,156.809236,KM2
62618,KAZ,Akmolinskaya,Wetland,1.004692,KM2
62633,CPV,Sal,Tree cover,0.0,KM2
62643,ATG,St. Paul,Inland water,1.3911120000000001,KM2
62648,SYR,Idleb,Grassland,6.414572,KM2
62653,AGO,Bengo,Artificial surfaces,6.18272,KM2
62663,TCD,Guera,Inland water,0.77284,KM2
62688,LBY,Az Zawia (azzawiya),Artificial surfaces,213.99939600000002,KM2
62723,THA,Rayong,Cropland,3233.7944119999997,KM2
62728,LBR,Montserrado,Bare area,0.0,KM2
62733,MNG,Ulaanbaatar,Artificial surfaces,184.476908,KM2
62758,BFA,Centre-sud,Wetland,0.309136,KM2
62768,UKR,Sums'ka,Bare area,0.0,KM2
62773,LBY,Al Khoms,Grassland,0.0,KM2
62803,GGY,Sark,Wetland,0.0,KM2
62808,UGA,Kabale,Grassland,5.332596,KM2
62813,ECU,Tungurahua,Inland water,4.714324,KM2
62818,PRI,Mayaguez,Bare area,0.0,KM2
62823,PNG,Chimbu,Inland water,2.163952,KM2
62838,VCT,Charlotte,Sparse vegetation,0.0,KM2
62843,MNG,O'mnogovi,Inland water,5.950868000000001,KM2
62848,COM,Moheli,Shrubland,0.0,KM2
62853,TKM,Administrative unit not available,Sparse vegetation,0.309136,KM2
62858,VEN,Zulia,Cropland,25425.585876,KM2
62863,CMR,Extrême - Nord,Bare area,12.210872,KM2
62873,UGA,Gulu,Wetland,0.0,KM2
62878,LBY,Al Jufrah,Artificial surfaces,8.501240000000001,KM2
62888,PRY,Presidente Hayes,Shrubland,8092.098503999999,KM2
62893,KEN,Coast,Shrubland,24689.687628,KM2
62918,VNM,Ca Mau,Tree cover,1286.39218,KM2
62948,THA,Phuket,Bare area,0.0,KM2
62953,JOR,Mafraq,Grassland,0.0,KM2
62968,LBY,Misurata,Cropland,451.10670799999997,KM2
62978,SYC,Port Glaud,Shrubland,0.0,KM2
62983,VEN,Aragua,Inland water,97.455124,KM2
62988,AIA,Name Unknown,Grassland,0.0,KM2
62993,VEN,Delta Amacuro,Artificial surfaces,8.733092,KM2
62998,EGY,Shrkia,Artificial surfaces,224.35545199999999,KM2
63003,CHN,Hebei Sheng,Cropland,104608.06733600001,KM2
63008,SYC,Assumption,Artificial surfaces,0.0,KM2
63013,SUR,Para,Grassland,17.852603999999996,KM2
63018,ECU,Pichincha,Inland water,3.09136,KM2
63028,BTN,Haa,Artificial surfaces,0.0,KM2
63033,CHN,Hebei Sheng,Grassland,46248.136712,KM2
63048,MNG,Xovd,Tree cover,76.20202400000001,KM2
63053,CIV,District autonome de Yamoussoukro,Artificial surfaces,37.714592,KM2
63058,SEN,Kaolack,Grassland,42.042496,KM2
63068,UGA,Apac,Tree cover,378.30518,KM2
63073,BTN,Bumthang,Tree cover,1768.953476,KM2
63083,GEO,Imereti,Wetland,5.641731999999999,KM2
63093,IRQ,Babil,Wetland,3.2459279999999997,KM2
63098,BLZ,Stann Creek,Bare area,0.154568,KM2
63103,URY,Lavalleja,Sparse vegetation,0.231852,KM2
63108,UGA,Kabale,Inland water,60.126952,KM2
63113,PER,Junín,Grassland,11356.342812,KM2
63123,CUB,Sancti Spiritus,Shrubland,0.0,KM2
63153,VCT,Saint Patrick,Inland water,0.38642,KM2
63158,NGA,Katsina,Tree cover,2.7822240000000003,KM2
63163,ARG,Cordoba,Wetland,3160.8383160000003,KM2
63168,NER,Dosso,Artificial surfaces,16.616059999999997,KM2
63178,WLF,Administrative unit not available,Tree cover,34.623232,KM2
63188,MRT,Brakna,Tree cover,346.77330799999993,KM2
63193,SDN,Southern Darfur,Sparse vegetation,11.5926,KM2
63198,BTN,Tsirang,Sparse vegetation,0.0,KM2
63208,NAM,Erongo,Shrubland,5254.384592,KM2
63218,UGA,Katakwi,Sparse vegetation,0.0,KM2
63223,UKR,Rivnens'ka,Grassland,618.581136,KM2
63238,JAM,Saint Andrew And Kingston,Bare area,0.0,KM2
63243,RUS,Sakhalinskaya Oblast,Grassland,3153.96004,KM2
63248,LCA,Region Number 2,Sparse vegetation,0.0,KM2
63263,KAZ,Mangistauskaya,Inland water,8004.690299999998,KM2
63268,TLS,Manatuto,Shrubland,0.0,KM2
63273,MDG,Vatovavy Fitovinany,Shrubland,0.154568,KM2
63298,RUS,Saratovskaya Oblast,Sparse vegetation,99.07808800000001,KM2
63308,UGA,Kibuku,Bare area,0.0,KM2
63318,BLZ,Stann Creek,Grassland,40.419532000000004,KM2
63333,ATF,Administrative unit not available,Shrubland,0.0,KM2
63343,VEN,Monagas,Artificial surfaces,167.860848,KM2
63348,BRA,Paraiba,Wetland,13.91112,KM2
63353,LKA,North Central,Sparse vegetation,0.0,KM2
63358,BTN,Lhuentse,Cropland,73.72893599999999,KM2
63368,NIC,Boaco,Tree cover,1172.8619840000001,KM2
63378,SYC,Marie-Louise,Cropland,0.0,KM2
63398,KEN,Western,Artificial surfaces,11.360748000000001,KM2
63403,MRT,Assaba,Grassland,18189.716808,KM2
63408,RUS,Smolenskaya Oblast,Inland water,384.87432,KM2
63418,UGA,Ntungamo,Inland water,4.327904,KM2
63428,ATF,Administrative unit not available,Shrubland,0.0,KM2
63433,CUB,Ciego De Avila,Bare area,0.6955560000000001,KM2
63438,DZA,Setif,Artificial surfaces,109.047724,KM2
63463,RUS,Kirovskaya Oblast,Inland water,573.679132,KM2
63468,MDA,Tighina,Sparse vegetation,0.0,KM2
63473,ANT,Administrative unit not available,Tree cover,275.90388,KM2
63478,ATG,St. John,Sparse vegetation,0.0,KM2
63493,PRI,Humacao,Sparse vegetation,0.0,KM2
63498,PRI,Aguadilla,Inland water,11.360748000000001,KM2
63503,VNM,Kon Tum,Tree cover,5422.863712,KM2
63513,RUS,Kaluzhskaya Oblast,Shrubland,0.077284,KM2
63518,NGA,Sokoto,Artificial surfaces,109.047724,KM2
63523,IND,Uttar Pradesh,Artificial surfaces,2739.485948,KM2
63528,BLZ,Corozal,Bare area,0.231852,KM2
63533,IRQ,Thi-Qar,Sparse vegetation,57.19016,KM2
63543,CHN,Henan Sheng,Tree cover,24902.527764000002,KM2
63548,SPM,Saint-Pierre,Bare area,1.236544,KM2
63573,RUS,Volgogradskaya Oblast,Cropland,79133.715256,KM2
63578,HND,Comayagua,Inland water,44.283732,KM2
63593,RUS,Altayskiy Kray,Sparse vegetation,223.04162399999998,KM2
63603,GAB,Ngounie,Tree cover,35366.704079999996,KM2
63608,KNA,Saint George Gingerland,Wetland,0.38642,KM2
63638,PSE,Al Khalil (Hebron),Bare area,281.39104399999997,KM2
63648,JAM,Saint Elizabeth,Artificial surfaces,4.63704,KM2
63658,DZA,Djelfa,Artificial surfaces,66.54152400000001,KM2
63663,TGO,Centrale,Cropland,1728.3793759999999,KM2
63673,ZMB,Copperbelt,Inland water,67.082512,KM2
63678,NGA,Nassarawa,Tree cover,9155.758196,KM2
63683,SAU,Hail,Tree cover,0.0,KM2
63693,JAM,Saint Mary,Tree cover,611.393724,KM2
63703,LAO,Xaignabouli,Sparse vegetation,0.0,KM2
63708,QAT,Ad Dawhah,Grassland,0.0,KM2
63713,GIN,Conakry,Shrubland,3.9414840000000004,KM2
63718,KAZ,Akmolinskaya,Bare area,240.89422800000003,KM2
63733,RUS,Orenburgskaya Oblast,Grassland,22913.16032,KM2
63748,TTO,Penal/Debe,Cropland,197.306052,KM2
63753,VNM,Cao Bang,Inland water,0.77284,KM2
63773,LAO,Xekong,Inland water,11.360748000000001,KM2
63778,AGO,Kuanza Norte,Grassland,146.685032,KM2
63783,NGA,Gombe,Inland water,244.14015600000002,KM2
63788,IRN,Golestan,Artificial surfaces,102.32401599999999,KM2
63803,MDA,Lapusna,Cropland,2732.143968,KM2
63823,THA,Ratchaburi,Inland water,13.679268,KM2
63833,MWI,Central Region,Tree cover,8011.877712,KM2
63848,BEN,Atlantique,Artificial surfaces,132.078356,KM2
63858,IRN,Gilan,Cropland,6515.504904,KM2
63863,MRT,Hodh Ech Chargi,Grassland,33362.652676,KM2
63873,PER,Ica,Inland water,25.658288,KM2
63878,SLV,Cuscatlan,Cropland,111.44352800000001,KM2
63903,LBY,Surt (sirte),Grassland,0.0,KM2
63923,PHL,Region IV (Southern Tagalog),Grassland,0.850124,KM2
63933,TCD,Logone Oriental,Cropland,6408.852984,KM2
63943,AZE,Administrative unit not available,Wetland,3.8641999999999994,KM2
63948,AZE,Nakhchivan,Sparse vegetation,1294.738852,KM2
63953,UGA,Bukwo,Cropland,65.382264,KM2
63958,PER,Ica,Shrubland,1291.879344,KM2
63973,TLS,Oecussi,Sparse vegetation,0.0,KM2
63988,LAO,Xekong,Shrubland,918.52034,KM2
63993,SDN,Western Darfur,Bare area,17.466184,KM2
64013,PER,Moquegua,Sparse vegetation,4655.742728,KM2
64018,LSO,Maseru,Sparse vegetation,0.154568,KM2
64023,RUS,Ivanovskaya Oblast,Inland water,949.8976440000001,KM2
64033,IRQ,Muthanna,Wetland,0.77284,KM2
64043,LBY,Al Aziziyah,Cropland,934.904548,KM2
64078,KGZ,Talas,Artificial surfaces,12.36544,KM2
64083,NER,Tahoua,Sparse vegetation,30899.611596,KM2
64093,TZA,Kigoma,Sparse vegetation,1.081976,KM2
64098,MUS,Flacq,Tree cover,69.632884,KM2
64113,TGO,Savanes,Grassland,10.04692,KM2
64133,GIN,Conakry,Tree cover,134.010456,KM2
64138,UGA,Kaberamaido,Bare area,0.0,KM2
64143,LBY,Al Khoms,Bare area,385.106172,KM2
64148,UGA,Isingiro,Sparse vegetation,0.0,KM2
64153,SYR,As_Suweida,Sparse vegetation,2259.165888,KM2
64158,VEN,Amazonas,Inland water,998.045576,KM2
64163,TGO,Savanes,Wetland,0.0,KM2
64178,JAM,Clarendon,Cropland,515.09786,KM2
64183,ARG,Chaco,Artificial surfaces,162.2964,KM2
64188,SYC,Cousin,Artificial surfaces,0.0,KM2
64193,NGA,Cross River,Bare area,3.5550640000000002,KM2
64203,MOZ,Nampula,Artificial surfaces,129.605268,KM2
64213,UGA,Kyankwanzi,Shrubland,1.236544,KM2
64218,VNM,Tay Ninh,Sparse vegetation,0.0,KM2
64228,UGA,Lira,Wetland,1.7775320000000001,KM2
64238,ZWE,Matabeleland South,Inland water,246.45867600000003,KM2
64248,BRB,St. James,Cropland,22.566927999999997,KM2
64253,MDG,Boeny,Sparse vegetation,82.77116400000001,KM2
64263,ARG,Santa Fe,Cropland,82855.171708,KM2
64268,TZA,Morogoro,Cropland,12925.208012000001,KM2
64318,SYC,Petite Soeur,Tree cover,0.0,KM2
64333,NIC,Carazo,Tree cover,921.9981200000001,KM2
64343,UGA,Iganga,Wetland,10.510624,KM2
64348,THA,Phrae,Bare area,0.0,KM2
64353,ATG,Barbuda,Artificial surfaces,0.540988,KM2
64363,THA,Yasothon,Artificial surfaces,19.939272000000003,KM2
64378,ARG,Salta,Bare area,23760.57938,KM2
64388,VEN,Carabobo,Shrubland,237.95743600000003,KM2
64398,JOR,Ma'an,Wetland,0.0,KM2
64403,MNG,Bayanxongor,Grassland,12274.322164000001,KM2
64413,IDN,Sulawesi Tengah,Cropland,13199.798064,KM2
64423,IRQ,Qadissiya,Cropland,4736.34994,KM2
64433,RUS,Adygeya Rep.,Shrubland,65.22769600000001,KM2
64443,PRI,San Juan,Wetland,0.540988,KM2
64448,CUB,Las Tunas,Grassland,183.39493199999998,KM2
64453,SJM,Administrative unit not available,Bare area,51341.30688,KM2
64463,IDN,Kalimantan Tengah,Artificial surfaces,114.68945599999999,KM2
64488,JAM,Saint Mary,Shrubland,0.0,KM2
64493,KAZ,Severo-kazachstanskaya,Sparse vegetation,201.247536,KM2
64508,QAT,Umm Salal,Shrubland,0.850124,KM2
64513,ARE,Sharjah,Tree cover,0.0,KM2
64518,AZE,Shaki-Zaqatala,Cropland,4369.63736,KM2
64523,VNM,Lai Chau,Shrubland,1627.291904,KM2
64528,KWT,Al Ahmadi,Grassland,0.0,KM2
64533,UGA,Kyankwanzi,Inland water,0.0,KM2
64538,AZE,Absheron,Artificial surfaces,425.525704,KM2
64543,DZA,Khenchela,Artificial surfaces,27.513104,KM2
64568,NER,Agadez,Tree cover,173.27072800000002,KM2
64573,LSO,Mafeteng,Artificial surfaces,9.583216,KM2
64593,MYS,Perak,Wetland,0.0,KM2
64598,IND,Chhattisgarh,Sparse vegetation,114.612172,KM2
64608,TUN,Gabes,Wetland,0.0,KM2
64618,THA,Narathiwat,Bare area,0.0,KM2
64633,SOM,Banadir,Artificial surfaces,49.616328,KM2
64643,KEN,Nyanza,Sparse vegetation,0.0,KM2
64653,IRQ,Kirkuk,Wetland,0.154568,KM2
64658,KHM,Kampot,Bare area,0.0,KM2
64663,BOL,Santa Cruz,Grassland,9837.09394,KM2
64668,NPL,Mid Western,Wetland,19.243716000000003,KM2
64673,RUS,Altayskiy Kray,Wetland,1065.35994,KM2
64698,LAO,Xekong,Tree cover,6780.12532,KM2
64733,SAU,Northern Frontier,Bare area,125602.72964,KM2
64738,PSE,Salfit,Bare area,1.854816,KM2
64748,ATG,St. Peter,Artificial surfaces,0.309136,KM2
64753,IDN,Sulawesi Selatan,Bare area,0.0,KM2
64788,THA,Narathiwat,Sparse vegetation,29.831623999999998,KM2
64793,MDG,Diana,Artificial surfaces,25.426436,KM2
64798,VNM,Thai Binh,Inland water,56.10818400000001,KM2
64803,NGA,Cross River,Sparse vegetation,0.0,KM2
64813,SEN,Saint louis,Shrubland,1405.332256,KM2
64858,CUB,Sancti Spiritus,Artificial surfaces,33.309404,KM2
64863,IDN,Maluku,Tree cover,30316.96752,KM2
64878,NPL,Far Western,Wetland,3.1686440000000005,KM2
64883,UZB,Khorezm,Wetland,0.154568,KM2
64908,RUS,Aginskiy Buryatskiy A. Okrug,Bare area,8.88766,KM2
64918,TKM,Administrative unit not available,Bare area,57.035592,KM2
64928,SYC,Bird,Cropland,0.0,KM2
64933,CMR,Littoral,Shrubland,11.20618,KM2
64938,DOM,Puerto Plata,Inland water,15.843220000000002,KM2
64948,UGA,Ibanda,Cropland,923.698368,KM2
64958,BRB,St. Phillip,Artificial surfaces,9.737784000000001,KM2
64983,PSE,Administrative unit not available,Grassland,0.0,KM2
65018,PHL,Region IV (Southern Tagalog),Sparse vegetation,243.05818000000002,KM2
65023,SGP,Tanjong Pagar,Cropland,3.400496,KM2
65033,TLS,Aileu,Artificial surfaces,1.313828,KM2
65053,SAU,Asir,Tree cover,221.41866,KM2
65078,VNM,Ben Tre,Grassland,1.004692,KM2
65083,CUB,Santiago De Cuba,Shrubland,0.077284,KM2
65093,QAT,Ad Dawhah,Bare area,12.983711999999999,KM2
65103,VNM,Quang Ngai,Artificial surfaces,31.377304000000002,KM2
65118,MNG,Bayan-O'lgii,Shrubland,827.479788,KM2
65123,HTI,Ouest,Wetland,325.36564,KM2
65133,GNB,Bolama/bijagos,Tree cover,557.681344,KM2
65138,TTO,Couva/Tabaquite/Talparo,Sparse vegetation,0.0,KM2
65153,RUS,Name Unknown,Tree cover,5.02346,KM2
65158,PSE,Ramallah,Sparse vegetation,230.074468,KM2
65163,MDG,Atsimo Atsinanana,Inland water,104.64253599999999,KM2
65168,BTN,Dagana,Bare area,0.0,KM2
65183,PER,Cajamarca,Tree cover,17035.248416,KM2
65188,TJK,Badakhshoni Kuni,Shrubland,65.459548,KM2
65193,SOM,Gedo,Grassland,3889.549152,KM2
65203,VNM,Binh Dinh,Bare area,5.409879999999999,KM2
65208,RUS,Smolenskaya Oblast,Grassland,4873.683608,KM2
65218,LKA,Uva,Sparse vegetation,0.0,KM2
65228,NGA,Imo,Shrubland,136.79268,KM2
65268,PHL,Region X (Northern Mindanao),Bare area,0.0,KM2
65283,BEN,Borgou,Bare area,0.0,KM2
65298,ARG,Chaco,Cropland,27166.021556,KM2
65318,ECU,Carchi,Cropland,775.9313599999999,KM2
65328,BLZ,Stann Creek,Sparse vegetation,0.0,KM2
65343,IND,Chandigarh,Shrubland,0.0,KM2
65348,THA,Phangnga,Shrubland,0.0,KM2
65353,IRN,Ilam,Bare area,10036.177523999999,KM2
65358,PNG,Northern,Wetland,0.0,KM2
65368,THA,Kalasin,Tree cover,265.70239200000003,KM2
65383,MNG,O'mnogovi,Cropland,52.089416,KM2
65393,TCD,Kabia,Cropland,4987.368372,KM2
65398,MAR,Marrakech - Tensift - Al Haouz,Cropland,11516.707112,KM2
65403,NPL,Western,Grassland,6192.921488,KM2
65413,ARG,La Pampa,Sparse vegetation,2728.8980399999996,KM2
65418,PSE,Tubas,Shrubland,0.0,KM2
65423,SGP,Northeast,Artificial surfaces,33.000268,KM2
65433,THA,Nakhon Ratchasima,Shrubland,302.95328,KM2
65438,NGA,Sokoto,Cropland,26641.34048,KM2
65448,VEN,Apure,Grassland,34422.911872,KM2
65453,MNG,Orxon,Shrubland,0.154568,KM2
65458,SEN,Fatick,Cropland,4795.394916,KM2
65463,NGA,Ogun,Cropland,12422.398308,KM2
65468,UGA,Amuru,Shrubland,57.57658,KM2
65473,MDA,Chisinau,Artificial surfaces,345.536764,KM2
65483,LKA,Western,Artificial surfaces,616.417184,KM2
65488,VCT,Saint David,Artificial surfaces,0.0,KM2
65493,IDN,Kalimantan Selatan,Tree cover,14504.892972,KM2
65498,PER,Huánuco,Artificial surfaces,31.300019999999996,KM2
65508,THA,Krabi,Grassland,0.0,KM2
65518,LAO,Vientiane,Shrubland,7139.727772,KM2
65533,URY,Treinta Y Tres,Shrubland,161.98726399999998,KM2
65538,DMA,St. Luke,Sparse vegetation,0.0,KM2
65548,KAZ,Yujno-kazachstanskaya,Sparse vegetation,23680.745008,KM2
65558,SEN,Thies,Sparse vegetation,46.061264,KM2
65583,GHA,Central,Shrubland,66.927944,KM2
65593,UKR,Kharkivs'ka,Artificial surfaces,1311.8959,KM2
65598,MNG,Xo'vsgol,Cropland,17795.722976,KM2
65603,UGA,Namayingo,Bare area,0.231852,KM2
65633,UGA,Kanungu,Grassland,113.530196,KM2
65643,PNG,Enga,Inland water,4.559756,KM2
65648,SYC,Au Cap,Cropland,7.960252,KM2
65658,NGA,Akwa Ibom,Sparse vegetation,0.0,KM2
65678,GGY,Herm,Artificial surfaces,0.0,KM2
65683,LBY,Zeleitin (zliten),Grassland,0.0,KM2
65688,KAZ,Kyzylordinskaya,Cropland,19899.625308000002,KM2
65698,UKR,Zaporiz'ka,Cropland,24200.402624000002,KM2
65703,BEN,Littoral,Grassland,0.0,KM2
65713,AIA,Name Unknown,Sparse vegetation,0.0,KM2
65768,UZB,Kashkadarya,Grassland,6486.987107999999,KM2
65773,IRN,East Azarbayejan,Tree cover,1535.7876480000002,KM2
65788,SYR,Hama,Inland water,5.178027999999999,KM2
65803,KWT,Al Jahrah,Grassland,0.0,KM2
65813,ARG,Salta,Wetland,76.743012,KM2
65818,SLV,Usulutan,Tree cover,1293.8114440000002,KM2
65823,CAF,Bangui,Cropland,11.901736000000001,KM2
65848,DMA,St. George,Cropland,0.154568,KM2
65853,TCD,Tandjile Est,Grassland,11.128896000000001,KM2
65858,WSM,Administrative unit not available,Cropland,1856.129828,KM2
65868,MDV,Baa,Shrubland,0.309136,KM2
65873,UGA,Masaka,Sparse vegetation,0.0,KM2
65883,VEN,Apure,Wetland,10985.379612,KM2
65888,BTN,Bumthang,Cropland,70.405724,KM2
65903,JOR,Zarqa,Artificial surfaces,72.33782400000001,KM2
65923,UGA,Butambala,Cropland,343.372812,KM2
65938,PRY,Neembucu,Sparse vegetation,1.54568,KM2
65943,ECU,Chimborazo,Artificial surfaces,61.74991599999999,KM2
65948,COG,Niari,Cropland,3227.9981119999998,KM2
65953,UGA,Napak,Bare area,0.0,KM2
65958,MNG,Darxan-Uul,Bare area,0.38642,KM2
65963,UGA,Mitooma,Cropland,529.318116,KM2
65968,AGO,Cabinda,Bare area,0.077284,KM2
65973,BRA,Rio Grande Do Norte,Artificial surfaces,266.088812,KM2
65983,UGA,Kaabong,Shrubland,2511.420864,KM2
65988,PSE,Rafah,Grassland,0.0,KM2
65998,UGA,Kabarole,Cropland,1361.1258080000002,KM2
66018,TLS,Baucau,Wetland,0.0,KM2
66028,BFA,Centre-ouest,Artificial surfaces,25.658288,KM2
66033,TJK,Sogd,Shrubland,1727.065548,KM2
66038,GIN,Kindia,Grassland,0.850124,KM2
66048,UKR,Zaporiz'ka,Grassland,134.86058,KM2
66053,LSO,Qacha's Nek,Bare area,0.077284,KM2
66068,QAT,Ar Rayyan,Shrubland,1.236544,KM2
66073,MOZ,Lago niassa,Tree cover,7.3419799999999995,KM2
66078,UGA,Kaliro,Artificial surfaces,0.927408,KM2
66098,DOM,Monte Plata,Cropland,1006.1603959999999,KM2
66103,UGA,Nakaseke,Artificial surfaces,1.6229639999999999,KM2
66108,UGA,Kalungu,Cropland,607.5295239999999,KM2
66113,UGA,Koboko,Tree cover,311.763656,KM2
66118,VNM,Ninh Thuan,Wetland,0.0,KM2
66148,SDN,Southern Darfur,Inland water,6.260004,KM2
66153,UGA,Budaka,Bare area,0.0,KM2
66158,TUV,Administrative unit not available,Grassland,0.0,KM2
66163,MYS,Perak,Grassland,0.0,KM2
66178,DZA,Souk-Ahras,Artificial surfaces,27.281252000000002,KM2
66188,UGA,Pallisa,Inland water,56.80374,KM2
66193,NAM,Otjozondjupa,Wetland,7.3419799999999995,KM2
66203,THA,Loei,Inland water,38.719284,KM2
66208,RUS,Pskovskaya Oblast,Cropland,12381.205935999998,KM2
66218,SYC,St Louis,Sparse vegetation,0.0,KM2
66233,IDN,Bali,Inland water,162.837388,KM2
66238,SOM,Gedo,Wetland,32.922984,KM2
66243,IMN,Onchan,Shrubland,0.0,KM2
66248,BTN,Sarpang,Shrubland,13.370132,KM2
66253,LBR,Grand Bassa,Sparse vegetation,0.0,KM2
66268,SAU,Northern Frontier,Wetland,37.714592,KM2
66278,RUS,Kaliningradskaya Oblast,Grassland,754.832828,KM2
66288,NGA,Enugu,Inland water,0.231852,KM2
66298,IRN,Administrative unit not available,Wetland,0.850124,KM2
66323,SLE,Northern,Artificial surfaces,51.857564,KM2
66333,GIN,Faranah,Tree cover,28317.321304,KM2
66338,MYS,Kelantan,Wetland,0.0,KM2
66348,PLW,Administrative unit not available,Shrubland,0.0,KM2
66358,OMN,A Dakhliya,Shrubland,239.19398,KM2
66363,SEN,Tambacounda,Shrubland,28512.77254,KM2
66373,URY,Durazno,Tree cover,688.755008,KM2
66378,UGA,Zombo,Shrubland,0.0,KM2
66388,KEN,Nyanza,Shrubland,197.76975600000003,KM2
66398,CCK,Administrative unit not available,Bare area,0.0,KM2
66418,EGY,Luxor,Artificial surfaces,13.988404,KM2
66433,AIA,Name Unknown,Cropland,0.309136,KM2
66453,HTI,Centre,Wetland,88.10376000000001,KM2
66468,NGA,Jigawa,Shrubland,37.019036,KM2
66498,MYS,Kuala Lumpur,Bare area,0.0,KM2
66513,URY,Rocha,Inland water,889.9252600000001,KM2
66518,UKR,Rivnens'ka,Artificial surfaces,542.3018279999999,KM2
66523,CMR,Sud - Ouest,Wetland,12.75186,KM2
66548,KAZ,Jambylslkaya,Sparse vegetation,51029.46594,KM2
66568,JEY,Saint Martin,Inland water,0.077284,KM2
66583,LBY,Banghazi,Inland water,45.133855999999994,KM2
66588,OMN,Dhofar,Sparse vegetation,1547.534816,KM2
66593,VCT,Saint Andrew,Bare area,0.0,KM2
66618,IRQ,Kerbala,Artificial surfaces,54.48522,KM2
66643,LKA,North Central,Inland water,255.0372,KM2
66668,SMR,Administrative unit not available,Inland water,0.0,KM2
66673,MUS,Savanne,Grassland,0.0,KM2
66678,NIC,Boaco,Artificial surfaces,6.337288000000001,KM2
66698,VEN,Monagas,Shrubland,219.17742399999997,KM2
66703,NPL,Western,Wetland,1.081976,KM2
66708,ARM,Kotayk,Artificial surfaces,94.20919599999999,KM2
66728,PNG,Enga,Shrubland,0.0,KM2
66733,IRN,Esfahan,Grassland,1584.553852,KM2
66743,MYS,Pahang,Wetland,0.0,KM2
66758,GAB,Ogooue-Ivindo,Tree cover,42922.760760000005,KM2
66773,SYC,Cerf Island,Inland water,0.309136,KM2
66778,IDN,Dki Jakarta,Shrubland,0.0,KM2
66793,MRT,Guidimakha,Cropland,3619.4415719999997,KM2
66798,NGA,Anambra,Shrubland,1075.0977240000002,KM2
66808,IDN,Kalimantan Timur,Tree cover,142980.732596,KM2
66813,TCA,Middle Caicos,Wetland,19.552851999999998,KM2
66833,GUY,Mahaica Berbice (region N°5),Grassland,157.19565599999999,KM2
66848,VGB,Virgin Gorda,Bare area,0.0,KM2
66868,ARG,Catamarca,Grassland,3781.1197,KM2
66873,PAN,Panamá,Shrubland,256.892016,KM2
